Title,Beds,Bath,Area,Address,Type,Price(BDT)
A Spacious And Modern Apartment Of 6300 Sq Ft Is For Sale In Baridhara,4,1,6300 sqft,"Block K, Baridhara, Dhaka",Apartment,110000000
We Are Pleased To Offer This Amazing 6300 Sq Ft Apartment In Baridhara Close To Uttar Baridhara Baitur Nur Jame Mosjid.,4,2,6300 sqft,"Block K, Baridhara, Dhaka",Apartment,90000000
"1407 Sq Ft Delightful Flat Is Up For Sale In Mohammadpur, Katashur",3,2,1407 sqft,"Katashur, Mohammadpur, Dhaka",Apartment,5300000
A Very Affordable 1850 Sq Ft Flat With Good Transportation Availability Is For Sale In Dhanmondi,3,2,1850 sqft,"Dhanmondi, Dhaka",Apartment,7600000
"To Live A Secure Life You Can Take This 1850 Sq Ft Flat For Sale At Dhanmondi, Central Road",3,2,1850 sqft,"Dhanmondi, Dhaka",Apartment,7800000
2500 Square Feet Residential Flat For Sale In Merul Badda,4,2,2500 sqft,"Merul Badda, Badda, Dhaka",Apartment,7000000
"See This 3000 Sq Ft Residential Apartment To Sale Located In Sector 3, Uttara",5,3,3000 sqft,"Sector 3, Uttara, Dhaka",Apartment,50000000
Residential Apartment Is Open For Saleal Purpose In Katashur Saikat Housing Society.,3,2,1150 sqft,"Katashur, Mohammadpur, Dhaka",Apartment,4100000
"900 Square Feet Apartment For Sale In Mohammadpur, Pc Culture Housing",2,2,900 sqft,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,1900000
2200 Sq Ft Luxurious Apartment Is Ready For Sale In Gulshan 2 Near Gulshan Police Station,3,3,2200 sqft,"Gulshan 2, Gulshan, Dhaka",Apartment,50000000
Well Planned Flat For Sale In Uttara Near The Aga Khan School,3,2,1975 sqft,"Sector 4, Uttara, Dhaka",Apartment,7000000
"1300 Sq Ft Flat With Nice Rooms For Sale In Mirpur-2, Borobag",3,3,1300 sqft,"Section 2, Mirpur, Dhaka",Apartment,7500000
Grab A 1500 Sq Ft Flat For Sale At Shantinagar Close To Popular Hospital,3,3,1500 sqft,"Shantinagar, Dhaka",Apartment,7100000
A Very Beautiful 960 Sq Ft Home Is Now Available For Sale In North Pirerbag,3,2,960 sqft,"Pirerbag, Mirpur, Dhaka",Apartment,2600000
Be The Occupant Of This 960 Sq Ft Residential Apartment Vacant For Sale At North Pirerbag,3,2,960 sqft,"Pirerbag, Mirpur, Dhaka",Apartment,2700000
"See, This Beautiful Apartment And Make It Your New Home Which Is Up For Sale In Naya Paltan",4,3,1400 sqft,"Naya Paltan, Motijheel, Dhaka",Apartment,5200000
"An Apartment Is Up For Sale In Khulshi, Nearby Women College.",3,3,1450 sqft,"South Khulshi, Khulshi, Chattogram",Apartment,8600000
"An Apartment Is Ready For Sale At Khulshi, Nearby Women College.",3,3,2000 sqft,"South Khulshi, Khulshi, Chattogram",Apartment,8600000
Ready Flat Is Now For Sale In Mohammadpur Nearby Mohammadpur Tokyo Square,2,2,950 sqft,"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",Apartment,2800000
For Saleal Purpose 1100 Square Feet Flat Is Available In Motijheel,2,2,1100 sqft,"Naya Paltan, Motijheel, Dhaka",Apartment,3900000
"Create Your New Home In A 1200 Sq Ft Semi Furnished Nice Flat For Sale In Uttara, Near Trust College",3,3,1200 sqft,"Sector 13, Uttara, Dhaka",Apartment,6700000
An Apartment Is Ready For Sale At Zakir Hossain Housing Society Near South Khulshi Jame Mosque,3,3,1750 sqft,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,7700000
1350 Sq Ft Road Sided Apartment For Sale In Nasirabad Properties Residential Area,3,3,1350 sqft,"Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,8000000
"A Suitable Flat Of 1100 Sq Ft With 3 Bedrooms For Sale In Mirpur, East Kazipara",3,3,1100 sqft,"East Kazipara, Mirpur, Dhaka",Apartment,6800000
"In An Urban Location And Reasonable Price, This 3 Bedroom Flat Is Available For Sale In South Khulshi-Vip Housing Society.",3,3,2000 sqft,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,8100000
"A 2000 Square Feet Beautiful Apartment Is Ready For Sale At Vip Housing Society, South Khulshi",3,3,2000 sqft,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,8700000
New With A View � 2000 Sq Ft Apartment For Sale In South Khulshi,3,3,2000 sqft,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,7500000
"Get Ready To Sale This Ideally Maintained 2000 Sq Ft Apartment Located In Vip Housing Society, South Khulshi",3,3,2000 sqft,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,7100000
"This Comfortable And Beautiful Apartment Of 2000 Sq Ft In Vip Housing Society, South Khulshi Is Up For Sale",3,3,2000 sqft,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,8400000
"Grab This Nice 1600 Sq Ft Flat In South Khulshi, To Fulfill Your Desire",3,3,1600 sqft,"Paharika Residential Area, South Khulshi, Khulshi, Chattogram",Apartment,9000000
For Saleal Purpose 2600 Sq Ft Flat Is Now Up For Sale In Gulshan Close To Shahabuddin Medical College Hospital,3,3,2600 sqft,"Gulshan 1, Gulshan, Dhaka",Apartment,60000000
"Smartly Priced 750 Sq Ft Apartment, That You Should Check In Katashur",2,2,750 sqft,"Katashur, Mohammadpur, Dhaka",Apartment,1600000
Spaciously Designed And Strongly 2115 Sq. Ft Apartment Is Now Vacant For Sale In South Khulshi,3,3,2115 sqft,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,10000000
"Flat Up For Sale In Gulshan 2 Area, Near Manarat International University, Of 3600 Sq Ft Is Available And Open For New Tenants To Move In",5,3,3600 sqft,"Gulshan 2, Gulshan, Dhaka",Apartment,30000000
3200 Sq Ft Apartment For Sale At Gulshan 1,4,2,3200 sqft,"Gulshan 1, Gulshan, Dhaka",Apartment,40000000
Avail An Exclusive Home Experience In This 3150 Sq Ft Flat For Sale In Uttara Sector 4,4,2,3150 sqft,"Sector 4, Uttara, Dhaka",Apartment,40000000
